Bus Stop Name,Bus Stop ID,Service Provider ID,Service Provider Name,Latitude,Longitude,Route ID,Route Name,Updated Date
ARMADA HOTEL,1000165,20,Rapid KL,3.103208983,101.6400548,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
DEWAN SIVIK,1001979,20,Rapid KL,3.097973405,101.6456753,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
DKSH HOLDING (OPP),1003538,20,Rapid KL,3.119014482,101.6333928,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
GERAI PJS 2C,1000840,20,Rapid KL,3.081748904,101.6273723,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
GERAI PJS 2C (OPP),1000839,20,Rapid KL,3.080720376,101.6271402,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
HOTEL LISA DE INN,1000944,20,Rapid KL,3.117966437,101.6302396,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
INAI COURT,1000999,20,Rapid KL,3.085094139,101.6543173,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
INAI COURT (OPP),1001000,20,Rapid KL,3.085175178,101.6546779,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
INDAH WATER,1001765,20,Rapid KL,3.076261799,101.6301504,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
JAYA 33 (OPP),1000484,20,Rapid KL,3.110426944,101.636356,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
JAYA ONE BLOCK A (OPP),1004190,20,Rapid KL,3.118996752,101.635401,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
KWSP,1001729,20,Rapid KL,3.107376541,101.6538066,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
LRT TAMAN JAYA,1001828,20,Rapid KL,3.103678422,101.6452994,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
MAHKAMAH SYARIAH,1001844,20,Rapid KL,3.086877107,101.6507747,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
MAHSA UNIVERSITY / INTAN,1001007,20,Rapid KL,3.117021739,101.6497826,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
MAKTAB KOPERASI MALAYSIA,1006036,20,Rapid KL,3.098976666,101.6469116,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
MASJID KOLEJ ISLAM MALAYA,1001955,20,Rapid KL,3.118747802,101.6412944,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
MC DONALDS,1001981,20,Rapid KL,3.086836306,101.6470581,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
PASAR TANI,1002272,20,Rapid KL,3.076622755,101.6279089,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
PERKESO,1006206,20,Rapid KL,3.094804,101.646695,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
PERKESO (OPP),1006034,20,Rapid KL,3.094888333,101.646485,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
PERPUSTAKAAN KOMUNITI PJ,1002425,20,Rapid KL,3.090805947,101.6460488,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
PERPUSTAKAAN KOMUNITI PJ (OPP),1006205,20,Rapid KL,3.090344,101.64598,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
PJ435 WISMA MCIS,1001509,20,Rapid KL,3.100977198,101.6412071,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
PJ437 LRT ASIA JAYA,1001785,20,Rapid KL,3.103882894,101.6391459,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
PJ731 KTM KG DATO HARUN (UTARA),1003685,20,Rapid KL,3.084408356,101.6331004,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
PJ735 SEKSYEN 18,1000943,20,Rapid KL,3.081853773,101.6497649,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
PJ736 SEKSYEN 18,1000942,20,Rapid KL,3.081437871,101.648319,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
PJ741 DESA MENTARI FASA 4 (UTARA),1003570,20,Rapid KL,3.084377828,101.6281165,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
PJ84 PJ WALK,1006035,20,Rapid KL,3.100201666,101.6452966,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
PJCC,1002851,20,Rapid KL,3.078442092,101.6271255,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
PJS 4,1002554,20,Rapid KL,3.075947841,101.630303,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
PONDOK POLIS,1002339,20,Rapid KL,3.077688574,101.6274316,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
PPUM,1002617,20,Rapid KL,3.113294731,101.6513975,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
PPUM CERIA (OPP),1002619,20,Rapid KL,3.114452395,101.6510024,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
PUSAT ASASI UIA,1002675,20,Rapid KL,3.118832894,101.6386563,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
QUILL 9,1005034,20,Rapid KL,3.114095,101.632593,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
SK JALAN SELANGOR,1006033,20,Rapid KL,3.09203,101.6455333,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
SK LA SALLE,1003129,20,Rapid KL,3.10021519,101.6525724,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
SK SRI PETALING (OPP),1003320,20,Rapid KL,3.108626319,101.639221,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
SMK (P) ASSUNTA (OPP),1003339,20,Rapid KL,3.098800623,101.6503886,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
SMK SULTAN ABD SAMAD (OPP),1003407,20,Rapid KL,3.118628563,101.64512,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
SPG TAMAN INDAH JAYA,1003446,20,Rapid KL,3.076344809,101.627899,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
SRA TAMAN MEDAN,1003149,20,Rapid KL,3.079870492,101.6274043,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
STADIUM HOKI,1003674,20,Rapid KL,3.092532905,101.6459739,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
SURAU MADRASATUL IMANIYA,1003745,20,Rapid KL,3.083266555,101.6271435,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
TERMINAL BAS,1003891,20,Rapid KL,3.087074941,101.6471346,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
TERMINAL TAMAN MEDAN,1006037,20,Rapid KL,3.075665,101.6328616,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
TMN DATO HARUN,1003967,20,Rapid KL,3.083373235,101.6367587,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
TMN MAJU JAYA,1002254,20,Rapid KL,3.083154508,101.6406288,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
TOL TMN MEDAN,1003075,20,Rapid KL,3.084872774,101.62678,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
UITM (OPP),1004161,20,Rapid KL,3.087052079,101.6523738,P0010,Taman Medan ~ Stesen LRT Taman Jaya,2/2/2021
BALAI POLIS SEA PARK,1000204,20,Rapid KL,3.117247487,101.6232729,P0020,Stesen LRT Taman Jaya ~ PPUM via SS2 PJ,2/2/2021
CONTINENTAL,1000836,20,Rapid KL,3.118843419,101.628922,P0020,Stesen LRT Taman Jaya ~ PPUM via SS2 PJ,2/2/2021
CONTINENTAL (OPP),1002865,20,Rapid KL,3.119103025,101.6285198,P0020,Stesen LRT Taman Jaya ~ PPUM via SS2 PJ,2/2/2021
DKSH HOLDING (OPP),1003538,20,Rapid KL,3.119014482,101.6333928,P0020,Stesen LRT Taman Jaya ~ PPUM via SS2 PJ,2/2/2021
HOTEL LISA DE INN,1000944,20,Rapid KL,3.117966437,101.6302396,P0020,Stesen LRT Taman Jaya ~ PPUM via SS2 PJ,2/2/2021
JAYA 33 (OPP),1000484,20,Rapid KL,3.110426944,101.636356,P0020,Stesen LRT Taman Jaya ~ PPUM via SS2 PJ,2/2/2021
JAYA ONE BLOCK A (OPP),1004190,20,Rapid KL,3.118996752,101.635401,P0020,Stesen LRT Taman Jaya ~ PPUM via SS2 PJ,2/2/2021
LRT TAMAN JAYA,1001828,20,Rapid KL,3.103678422,101.6452994,P0020,Stesen LRT Taman Jaya ~ PPUM via SS2 PJ,2/2/2021
MAHSA UNIVERSITY / INTAN,1001007,20,Rapid KL,3.117021739,101.6497826,P0020,Stesen LRT Taman Jaya ~ PPUM via SS2 PJ,2/2/2021
MASJID KOLEJ ISLAM MALAYA,1001955,20,Rapid KL,3.118747802,101.6412944,P0020,Stesen LRT Taman Jaya ~ PPUM via SS2 PJ,2/2/2021
MENARA AM FIRST,1002012,20,Rapid KL,3.117866791,101.6292564,P0020,Stesen LRT Taman Jaya ~ PPUM via SS2 PJ,2/2/2021
PANGSAPURI EHSAN RIA,1002142,20,Rapid KL,3.111593799,101.64646,P0020,Stesen LRT Taman Jaya ~ PPUM via SS2 PJ,2/2/2021
PERODUA,1000980,20,Rapid KL,3.118281345,101.6262725,P0020,Stesen LRT Taman Jaya ~ PPUM via SS2 PJ,2/2/2021
PJ437 LRT ASIA JAYA,1001785,20,Rapid KL,3.103882894,101.6391459,P0020,Stesen LRT Taman Jaya ~ PPUM via SS2 PJ,2/2/2021
PJ443 YAYASAN CANCERLINK,1004272,20,Rapid KL,3.10853523,101.6458757,P0020,Stesen LRT Taman Jaya ~ PPUM via SS2 PJ,2/2/2021
POH KONG,1001276,20,Rapid KL,3.117253827,101.6208864,P0020,Stesen LRT Taman Jaya ~ PPUM via SS2 PJ,2/2/2021
PUBLIC BANK,1006038,20,Rapid KL,3.12081333,101.6218233,P0020,Stesen LRT Taman Jaya ~ PPUM via SS2 PJ,2/2/2021
PUSAT ASASI UIA,1002675,20,Rapid KL,3.118832894,101.6386563,P0020,Stesen LRT Taman Jaya ~ PPUM via SS2 PJ,2/2/2021
QUILL 9,1005034,20,Rapid KL,3.114095,101.632593,P0020,Stesen LRT Taman Jaya ~ PPUM via SS2 PJ,2/2/2021
SK SRI PETALING (OPP),1003320,20,Rapid KL,3.108626319,101.639221,P0020,Stesen LRT Taman Jaya ~ PPUM via SS2 PJ,2/2/2021
SMK SULTAN ABD SAMAD (OPP),1003407,20,Rapid KL,3.118628563,101.64512,P0020,Stesen LRT Taman Jaya ~ PPUM via SS2 PJ,2/2/2021
SRK ALAM SHAH,1003630,20,Rapid KL,3.112233589,101.6471906,P0020,Stesen LRT Taman Jaya ~ PPUM via SS2 PJ,2/2/2021
SS2,1900004,20,Rapid KL,3.116222,101.622244,P0020,Stesen LRT Taman Jaya ~ PPUM via SS2 PJ,2/2/2021
UNIVERSITI TOWER,1004179,20,Rapid KL,3.113482552,101.6503766,P0020,Stesen LRT Taman Jaya ~ PPUM via SS2 PJ,2/2/2021
WISMA MCIS ZURICH,1002556,20,Rapid KL,3.101026633,101.6422353,P0020,Stesen LRT Taman Jaya ~ PPUM via SS2 PJ,2/2/2021
7 ELEVEN,1000032,20,Rapid KL,3.10082939,101.6054062,P0030,LRT Taman Bahagia ~ SS6 Kelana Park View,2/2/2021
DATARAN GLOMAC,1006212,20,Rapid KL,3.10455,101.6003233,P0030,LRT Taman Bahagia ~ SS6 Kelana Park View,2/2/2021
GIANT,1002198,20,Rapid KL,3.105165833,101.6005895,P0030,LRT Taman Bahagia ~ SS6 Kelana Park View,2/2/2021
KELANA PARK VIEW,1001381,20,Rapid KL,3.101752623,101.6000244,P0030,LRT Taman Bahagia ~ SS6 Kelana Park View,2/2/2021
KUARTERS PDRM,1006210,20,Rapid KL,3.10943,101.60006,P0030,LRT Taman Bahagia ~ SS6 Kelana Park View,2/2/2021
LRT TMN BAHAGIA,1001830,20,Rapid KL,3.110742933,101.6130193,P0030,LRT Taman Bahagia ~ SS6 Kelana Park View,2/2/2021
MASJID AL-HIDAYAH (OPP),1001910,20,Rapid KL,3.100248602,101.6070316,P0030,LRT Taman Bahagia ~ SS6 Kelana Park View,2/2/2021
NURSERI (OPP),1002107,20,Rapid KL,3.108752657,101.6165014,P0030,LRT Taman Bahagia ~ SS6 Kelana Park View,2/2/2021
PANGSAPURI PKNS (OPP),1006211,20,Rapid KL,3.1027201,101.6004395,P0030,LRT Taman Bahagia ~ SS6 Kelana Park View,2/2/2021
PETRONAS/SHELL (OPP),1006208,20,Rapid KL,3.10816,101.60637,P0030,LRT Taman Bahagia ~ SS6 Kelana Park View,2/2/2021
PJ633 SMK KELANA JAYA,1003347,20,Rapid KL,3.109053454,101.5960715,P0030,LRT Taman Bahagia ~ SS6 Kelana Park View,2/2/2021
RUMAH NO 159 (OPP),1006214,20,Rapid KL,3.099316,101.60424,P0030,LRT Taman Bahagia ~ SS6 Kelana Park View,2/2/2021
RUMAH NO 21,1002914,20,Rapid KL,3.101728852,101.6095813,P0030,LRT Taman Bahagia ~ SS6 Kelana Park View,2/2/2021
RUMAH NO 24,1006213,20,Rapid KL,3.10305,101.606737,P0030,LRT Taman Bahagia ~ SS6 Kelana Park View,2/2/2021
RUMAH NO 28,1006209,20,Rapid KL,3.10945,101.60324,P0030,LRT Taman Bahagia ~ SS6 Kelana Park View,2/2/2021
RUMAH NO 28,1006216,20,Rapid KL,3.096366,101.6057627,P0030,LRT Taman Bahagia ~ SS6 Kelana Park View,2/2/2021
RUMAH NO 52,1006227,20,Rapid KL,3.096950597,101.6049881,P0030,LRT Taman Bahagia ~ SS6 Kelana Park View,2/2/2021
RUMAH NO 57,1002952,20,Rapid KL,3.10785187,101.6112777,P0030,LRT Taman Bahagia ~ SS6 Kelana Park View,2/2/2021
SK KELANA JAYA,1003137,20,Rapid KL,3.105184062,101.6065792,P0030,LRT Taman Bahagia ~ SS6 Kelana Park View,2/2/2021
SMK SRI PERMATA,1006217,20,Rapid KL,3.101709,101.61385,P0030,LRT Taman Bahagia ~ SS6 Kelana Park View,2/2/2021
SMK TMN SEA (OPP),1003411,20,Rapid KL,3.1097475,101.6165033,P0030,LRT Taman Bahagia ~ SS6 Kelana Park View,2/2/2021
SPG SS1/38,1003552,20,Rapid KL,3.104778077,101.6162315,P0030,LRT Taman Bahagia ~ SS6 Kelana Park View,2/2/2021
YAYASAN TAIWAN BUDDIST (OPP),1003501,20,Rapid KL,3.096114731,101.6070212,P0030,LRT Taman Bahagia ~ SS6 Kelana Park View,2/2/2021
7 ELEVEN,1000031,20,Rapid KL,3.09689208,101.611017,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
BALAI POLIS SEA PARK,1000204,20,Rapid KL,3.117247487,101.6232729,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
BANGUNAN O'CONNOR (OPP),1000813,20,Rapid KL,3.10025397,101.6321281,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
GALAXY OPTICARE,1000820,20,Rapid KL,3.108764731,101.6237629,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
GERAI MAKAN,1000837,20,Rapid KL,3.088843227,101.6250311,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
HERBALINE FACIAL SPA,1006226,20,Rapid KL,3.111916,101.62126,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
HONDA TRAINING CENTRE (OPP),1000897,20,Rapid KL,3.101346358,101.6306647,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
JLN MAKMUR,1001134,20,Rapid KL,3.101463668,101.6148028,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
LRT TMN BAHAGIA,1001830,20,Rapid KL,3.110742933,101.6130193,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
PANGSAPURI PKNS,1002167,20,Rapid KL,3.090160715,101.6148341,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
PDG PERMAINAN,1002331,20,Rapid KL,3.093701411,101.6279197,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
PDG PERMAINAN,1002341,20,Rapid KL,3.100236476,101.6110472,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
PETRON,1000639,20,Rapid KL,3.111665595,101.6190411,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
PETRON,1002049,20,Rapid KL,3.11400256,101.6205749,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
POH KONG,1001276,20,Rapid KL,3.117253827,101.6208864,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
P/RAYA BINTANG,1002192,20,Rapid KL,3.08858292,101.6140895,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
PUBLIC BANK,1006038,20,Rapid KL,3.12081333,101.6218233,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
RUMAH NO 1,1002879,20,Rapid KL,3.091518977,101.6111773,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
RUMAH NO 107,1006218,20,Rapid KL,3.10477465,101.6128427,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
RUMAH NO 35,1002933,20,Rapid KL,3.095426739,101.6172649,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
RUMAH NO 57,1002952,20,Rapid KL,3.10785187,101.6112777,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
RUMAH NO 9,1002969,20,Rapid KL,3.093327684,101.6164489,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
SHELL,1003205,20,Rapid KL,3.096482251,101.6306122,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
SHELL,1003232,20,Rapid KL,3.109686488,101.6231223,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
SJKC SG WAY,1003626,20,Rapid KL,3.08810561,101.6207767,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
SJKC SG WAY (OPP),1002817,20,Rapid KL,3.090235794,101.6207213,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
SMK (P) SRI AMAN,1003414,20,Rapid KL,3.103513616,101.6289634,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
SMK SRI UTAMA,1003403,20,Rapid KL,3.098533904,101.6321577,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
SMK TMN SEA (OPP),1003411,20,Rapid KL,3.1097475,101.6165033,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
SPG SS 1/1D,1003551,20,Rapid KL,3.095712172,101.6185992,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
WISMA JAFER ZAIDI,1006225,20,Rapid KL,3.106699,101.625504,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
WISMA SKPPK,1004256,20,Rapid KL,3.09220519,101.6207526,P0040,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,2/2/2021
KLIA,1006484,20,Rapid KL,2.75574,101.704673,R0100,LRT Putra Height ~ KLIA1 ~ KLIA2,2/2/2021
KLIA 2,1006409,20,Rapid KL,2.745307,101.684533,R0100,LRT Putra Height ~ KLIA1 ~ KLIA2,2/2/2021
LRT PUTRA HEIGHT,1006550,20,Rapid KL,2.995283,101.575734,R0100,LRT Putra Height ~ KLIA1 ~ KLIA2,2/2/2021
KL1835 MATIC,1007528,20,Rapid KL,3.157565,101.706985,S0010,KLCC ~ Bukit Bintang,2/2/2021
KL22 RAJA CHULAN MONORAIL/MENARA KH,1002002,20,Rapid KL,3.1511,101.710204,S0010,KLCC ~ Bukit Bintang,2/2/2021
KL270 TABUNG HAJI,1003768,20,Rapid KL,3.157748565,101.7206108,S0010,KLCC ~ Bukit Bintang,2/2/2021
KL80 HOTEL CONCORDE,1000901,20,Rapid KL,3.155189842,101.7063938,S0010,KLCC ~ Bukit Bintang,2/2/2021
KL81 LIFE CENTRE,1007526,20,Rapid KL,3.1533785,101.708406,S0010,KLCC ~ Bukit Bintang,2/2/2021
KL83 MENARA COSWAY,1004239,20,Rapid KL,3.150331,101.711558,S0010,KLCC ~ Bukit Bintang,2/2/2021
KL84 PAVILLION (TIMUR),1001152,20,Rapid KL,3.14797663,101.7135465,S0010,KLCC ~ Bukit Bintang,2/2/2021
KL86 MRT BUKIT BINTANG/HSBC,1000958,20,Rapid KL,3.147717604,101.7108523,S0010,KLCC ~ Bukit Bintang,2/2/2021
KL87 WISMA ROHAS PERKASA (OPP),1007527,20,Rapid KL,3.155004,101.708363,S0010,KLCC ~ Bukit Bintang,2/2/2021
KL88 GRAND HYATT HOTEL,1000998,20,Rapid KL,3.153862821,101.7117314,S0010,KLCC ~ Bukit Bintang,2/2/2021
KL89 EXXON MOBIL,1000649,20,Rapid KL,3.15379641,101.7157615,S0010,KLCC ~ Bukit Bintang,2/2/2021
KL91 CITIBANK / INTERCONTINENTAL HOTEL,1000492,20,Rapid KL,3.160277615,101.7173027,S0010,KLCC ~ Bukit Bintang,2/2/2021
KL93 MENARA ATLAN,1002014,20,Rapid KL,3.159991981,101.7158401,S0010,KLCC ~ Bukit Bintang,2/2/2021
KL94 KLCC (UTARA),1001518,20,Rapid KL,3.159011247,101.712357,S0010,KLCC ~ Bukit Bintang,2/2/2021
KL98 MENARA BSN,1008252,20,Rapid KL,3.158479,101.708767,S0010,KLCC ~ Bukit Bintang,2/2/2021
KL99 RENAISSANCE HOTEL (OPP),1002712,20,Rapid KL,3.156678,101.705536,S0010,KLCC ~ Bukit Bintang,2/2/2021
FAHRENHEIT88,1008314,20,Rapid KL,3.147546,101.712513,S0020,Pasar Seni ~ Bukit Bintang,2/2/2021
KL102 BANGKOK BANK,1000221,20,Rapid KL,3.146149076,101.6966888,S0020,Pasar Seni ~ Bukit Bintang,2/2/2021
KL103 MAYBANK,1006277,20,Rapid KL,3.14694,101.69683,S0020,Pasar Seni ~ Bukit Bintang,2/2/2021
KL104 LIN HO,1000273,20,Rapid KL,3.147642,101.697527,S0020,Pasar Seni ~ Bukit Bintang,2/2/2021
KL108 KOTA RAYA,1001673,20,Rapid KL,3.145271745,101.6981892,S0020,Pasar Seni ~ Bukit Bintang,2/2/2021
KL11 WISMA MPL,1008254,20,Rapid KL,3.150643,101.707128,S0020,Pasar Seni ~ Bukit Bintang,2/2/2021
KL13 WISMA BUDIMAN,1004230,20,Rapid KL,3.149291637,101.7019721,S0020,Pasar Seni ~ Bukit Bintang,2/2/2021
KL14 MENARA OLYMPIA,1004247,20,Rapid KL,3.14866977,101.7001723,S0020,Pasar Seni ~ Bukit Bintang,2/2/2021
KL15 MUZIUM TELEKOM,1003883,20,Rapid KL,3.148382,101.6988311,S0020,Pasar Seni ~ Bukit Bintang,2/2/2021
KL16 MENARA OLYMPIA,1004248,20,Rapid KL,3.149019166,101.7004892,S0020,Pasar Seni ~ Bukit Bintang,2/2/2021
KL17 MENARA KL (SELATAN),1002007,20,Rapid KL,3.150408,101.705095,S0020,Pasar Seni ~ Bukit Bintang,2/2/2021
KL19 THE WELD,1004246,20,Rapid KL,3.150829,101.707019,S0020,Pasar Seni ~ Bukit Bintang,2/2/2021
KL21 WISMA FOO YONG,1004245,20,Rapid KL,3.150534483,101.7089447,S0020,Pasar Seni ~ Bukit Bintang,2/2/2021
KL83 MENARA COSWAY,1004239,20,Rapid KL,3.150331,101.711558,S0020,Pasar Seni ~ Bukit Bintang,2/2/2021
KL86 MRT BUKIT BINTANG/HSBC,1000958,20,Rapid KL,3.147717604,101.7108523,S0020,Pasar Seni ~ Bukit Bintang,2/2/2021
KL9 WISMA BOUSTEAD,1001998,20,Rapid KL,3.150198532,101.7091848,S0020,Pasar Seni ~ Bukit Bintang,2/2/2021
PASAR SENI 2 (PLATFORM A3 - A5),1004341,20,Rapid KL,3.1431,101.6959,S0020,Pasar Seni ~ Bukit Bintang,2/2/2021
99 SPEEDMART KJG MEWAH,1006317,20,Rapid KL,2.975796,101.780369,S0030,Hentian Kajang ~ Bandar Kajang via Seksyen 7 Bangi,2/2/2021
99 SPEEDMART KJG MEWAH (OPP),1006318,20,Rapid KL,2.975737,101.780491,S0030,Hentian Kajang ~ Bandar Kajang via Seksyen 7 Bangi,2/2/2021
99 SPEEDMART SEK 7,1006244,20,Rapid KL,2.971453,101.773123,S0030,Hentian Kajang ~ Bandar Kajang via Seksyen 7 Bangi,2/2/2021
99 SPEEDMART SEK 7 (OPP),1006245,20,Rapid KL,2.971535,101.773478,S0030,Hentian Kajang ~ Bandar Kajang via Seksyen 7 Bangi,2/2/2021
ECONSAVE,1006250,20,Rapid KL,2.96569,101.789253,S0030,Hentian Kajang ~ Bandar Kajang via Seksyen 7 Bangi,2/2/2021
FLAT SRI SAGA,1006232,20,Rapid KL,2.988491,101.778122,S0030,Hentian Kajang ~ Bandar Kajang via Seksyen 7 Bangi,2/2/2021
FLAT SRI SAGA (OPP),1006233,20,Rapid KL,2.988415,101.778013,S0030,Hentian Kajang ~ Bandar Kajang via Seksyen 7 Bangi,2/2/2021
INTANA RIA,1006319,20,Rapid KL,2.970123,101.780749,S0030,Hentian Kajang ~ Bandar Kajang via Seksyen 7 Bangi,2/2/2021
INTANA RIA (OPP),1006316,20,Rapid KL,2.970096,101.78063,S0030,Hentian Kajang ~ Bandar Kajang via Seksyen 7 Bangi,2/2/2021
JING AN MEMORIAL VILLAGE,1006239,20,Rapid KL,2.977431,101.780722,S0030,Hentian Kajang ~ Bandar Kajang via Seksyen 7 Bangi,2/2/2021
JPJ BANGI,1006322,20,Rapid KL,2.96836,101.77515,S0030,Hentian Kajang ~ Bandar Kajang via Seksyen 7 Bangi,2/2/2021
JPJ BANGI (OPP),1006313,20,Rapid KL,2.968574,101.775248,S0030,Hentian Kajang ~ Bandar Kajang via Seksyen 7 Bangi,2/2/2021
KJ471 TERMINAL KAJANG,1003903,20,Rapid KL,2.95700425,101.7917194,S0030,Hentian Kajang ~ Bandar Kajang via Seksyen 7 Bangi,2/2/2021
MAYBANK PEKAN KAJANG,1001975,20,Rapid KL,2.991630113,101.7874071,S0030,Hentian Kajang ~ Bandar Kajang via Seksyen 7 Bangi,2/2/2021
MKH BERHAD,1001750,20,Rapid KL,2.992959155,101.790126,S0030,Hentian Kajang ~ Bandar Kajang via Seksyen 7 Bangi,2/2/2021
MRT STADIUM KAJANG,1007233,20,Rapid KL,2.994009,101.78641,S0030,Hentian Kajang ~ Bandar Kajang via Seksyen 7 Bangi,2/2/2021
PANGSAPURI SERI TANJUNG,1006320,20,Rapid KL,2.968668,101.780551,S0030,Hentian Kajang ~ Bandar Kajang via Seksyen 7 Bangi,2/2/2021
